,hist,ensmean,ens5th,ens25th,ens75th,ens95th
24/4/2022,0.433510125,NA,NA,NA,NA,NA
25/4/2022,0.169623375,NA,NA,NA,NA,NA
26/4/2022,0.263738632,NA,NA,NA,NA,NA
27/4/2022,0.14845477,NA,NA,NA,NA,NA
28/4/2022,NA,NA,NA,NA,NA,NA
29/4/2022,NA,NA,NA,NA,NA,NA
30/4/2022,NA,NA,NA,NA,NA,NA
1/5/2022,NA,NA,NA,NA,NA,NA
2/5/2022,0.136718661,NA,NA,NA,NA,NA
3/5/2022,0.131602451,NA,NA,NA,NA,NA
4/5/2022,0.189894155,NA,NA,NA,NA,NA
5/5/2022,0.1790746,NA,NA,NA,NA,NA
6/5/2022,0.134389162,NA,NA,NA,NA,NA
7/5/2022,0.223309383,NA,NA,NA,NA,NA
8/5/2022,NA,NA,NA,NA,NA,NA
9/5/2022,NA,NA,NA,NA,NA,NA
10/5/2022,NA,NA,NA,NA,NA,NA
11/5/2022,NA,NA,NA,NA,NA,NA
12/5/2022,NA,NA,NA,NA,NA,NA
13/5/2022,0.113057189,NA,NA,NA,NA,NA
14/5/2022,NA,NA,NA,NA,NA,NA
15/5/2022,NA,NA,NA,NA,NA,NA
16/5/2022,NA,NA,NA,NA,NA,NA
17/5/2022,0.144836068,NA,NA,NA,NA,NA
18/5/2022,0.208073288,NA,NA,NA,NA,NA
19/5/2022,0.194687337,NA,NA,NA,NA,NA
20/5/2022,0.261329442,NA,NA,NA,NA,NA
21/5/2022,0.346966863,NA,NA,NA,NA,NA
22/5/2022,NA,NA,NA,NA,NA,NA
23/5/2022,NA,NA,NA,NA,NA,NA
24/5/2022,NA,NA,NA,NA,NA,NA
25/5/2022,NA,NA,NA,NA,NA,NA
26/5/2022,NA,NA,NA,NA,NA,NA
27/5/2022,NA,NA,NA,NA,NA,NA
28/5/2022,NA,NA,NA,NA,NA,NA
29/5/2022,NA,NA,NA,NA,NA,NA
30/5/2022,NA,NA,NA,NA,NA,NA
31/5/2022,NA,NA,NA,NA,NA,NA
1/6/2022,NA,NA,NA,NA,NA,NA
2/6/2022,NA,NA,NA,NA,NA,NA
3/6/2022,NA,NA,NA,NA,NA,NA
4/6/2022,NA,NA,NA,NA,NA,NA
5/6/2022,NA,NA,NA,NA,NA,NA
6/6/2022,NA,NA,NA,NA,NA,NA
7/6/2022,NA,NA,NA,NA,NA,NA
8/6/2022,NA,NA,NA,NA,NA,NA
9/6/2022,NA,NA,NA,NA,NA,NA
10/6/2022,0.156386659,NA,NA,NA,NA,NA
11/6/2022,NA,NA,NA,NA,NA,NA
12/6/2022,NA,NA,NA,NA,NA,NA
13/6/2022,NA,NA,NA,NA,NA,NA
14/6/2022,NA,NA,NA,NA,NA,NA
15/6/2022,NA,NA,NA,NA,NA,NA
16/6/2022,NA,NA,NA,NA,NA,NA
17/6/2022,NA,NA,NA,NA,NA,NA
18/6/2022,NA,NA,NA,NA,NA,NA
19/6/2022,NA,NA,NA,NA,NA,NA
20/6/2022,NA,NA,NA,NA,NA,NA
21/6/2022,NA,NA,NA,NA,NA,NA
22/6/2022,NA,NA,NA,NA,NA,NA
23/6/2022,NA,NA,NA,NA,NA,NA
24/6/2022,NA,NA,NA,NA,NA,NA
25/6/2022,NA,NA,NA,NA,NA,NA
26/6/2022,0.204630256,NA,NA,NA,NA,NA
27/6/2022,0.124968663,NA,NA,NA,NA,NA
28/6/2022,0.133979902,NA,NA,NA,NA,NA
